nome;frequencia;no_casos
ROSÂ¦RIO;17;1
SEBASTIAO;17;1
THEODORA;17;1
TIMOTEO;17;1
UMBELINA;17;1
AMERICO;16;1
ANANIAS;16;1
BENEDICTO;16;1
BRAS;16;1
BRAVO;16;1
BRETAS;16;1
CABREIRA;16;1
CLAUDIO;16;1
CURSINO;16;1
FERNADES;16;1
FERRI;16;1
GAIA;16;1
GALINDO;16;1
GARCEZ;16;1
GENEROSO;16;1
GOMIDE;16;1
HILARIO;16;1
JEZUS;16;1
LANDIM;16;1
LAPA;16;1
LOMBARDI;16;1
LUCCA;16;1
LYRA;16;1
MANSO;16;1
MARCELO;16;1
MARTINES;16;1
MILANI;16;1
MORATO;16;1
NERIS;16;1
NOLASCO;16;1
OLIVERA;16;1
OSORIO;16;1
PAVAN;16;1
PEDREIRA;16;1
QUEIROS;16;1
RAMIRO;16;1
RINALDI;16;1
SIVA;16;1
SIVLA;16;1
SOBREIRA;16;1
TORQUATO;16;1
VELLOSO;16;1
VICTOR;16;1
VILACA;16;1
ABADIA;15;1
ALECRIM;15;1
BACELAR;15;1
BELEM;15;1
BRASILEIR;15;1
CAMARGOS;15;1
COCNEICAO;15;1
COLARES;15;1
CONCEI+Ã†O;15;1
DIONIZIO;15;1
DOMINGAS;15;1
DORIA;15;1
DRUMOND;15;1
FONTANA;15;1
FURQUIM;15;1
GARRIDO;15;1
GONTIJO;15;1
HERCULANO;15;1
JOAO;15;1
LAURENTINO;15;1
MAMEDE;15;1
MARTA;15;1
MORI;15;1
MOUTINHO;15;1
NAZARIO;15;1
PALHARES;15;1
PEDRA;15;1
PEGO;15;1
PEQUENO;15;1
PUREZA;15;1
RAMIRES;15;1
RIZZO;15;1
SCHIMIDT;15;1
SERRAO;15;1
SIMAS;15;1
TABORDA;15;1
VIRGINIA;15;1
VITORIO;15;1
WAGNER;15;1
ABRANTES;14;1
AMADOR;14;1
BERNARDINA;14;1
BRASILE;14;1
CAMACHO;14;1
CANUTO;14;1
CIRINO;14;1
CLEMENTINO;14;1
CONCEICA;14;1
CONEICAO;14;1
CONSTANCIA;14;1
CRISTO;14;1
DAMASIO;14;1
DAMIAO;14;1
DELFINA;14;1
ESCOBAR;14;1
FAVERO;14;1
FELICIA;14;1
FELICIANA;14;1
GALHARDO;14;1
GUARNIERI;14;1
GUIA;14;1
JULIAO;14;1
LAZARO;14;1
MARIANA;14;1
MASSA;14;1
MAYER;14;1
MONTENEGRO;14;1
NEGRAO;14;1
NEGRI;14;1
NOLETO;14;1
PECANHA;14;1
PORTES;14;1
PRAXEDES;14;1
PRIMO;14;1
ROMUALDO;14;1
SILVANO;14;1
THOME;14;1
VALVERDE;14;1
VICTORIA;14;1
WATANABE;14;1
ALBERTINA;13;1
ANACLETO;13;1
AZAMBUJA;13;1
BARREIRA;13;1
BARREIROS;13;1
BERGAMO;13;1
BOEIRA;13;1
BRAGANCA;13;1
BRITES;13;1
CAETANA;13;1
CAIXETA;13;1
CANO;13;1
CANTANHEDE;13;1
CECILIA;13;1
CURY;13;1
DEJESUS;13;1
DELMONDES;13;1
DOMICIANO;13;1
ELE;13;1
ELEUTERIO;13;1
FIORI;13;1
