nome;frequencia;no_casos
MAGNOLIA;51;1
RAMIRA;51;1
ROSANE;51;1
STELLA;51;1
VANILDA;51;1
ARGEMIRA;50;1
BENIGNA;50;1
CREMILDA;50;1
DINORA;50;1
ENGRACIA;50;1
ISMENIA;50;1
IVANILDE;50;1
LUSIA;50;1
NATIVIDADE;50;1
NOEME;50;1
SELVINA;50;1
ARCELINA;49;1
CENIRA;49;1
EMERENCIANA;49;1
EREMITA;49;1
JACYRA;49;1
JOANITA;49;1
JOCELINA;49;1
LENIRA;49;1
LUCILENE;49;1
ORLANDINA;49;1
PATROCINIA;49;1
SEBASTIAO;49;1
VICENCA;49;1
CARMINDA;48;1
CASSIANA;48;1
ELISIA;48;1
LIBANIA;48;1
MARIETTA;48;1
NANCY;48;1
SALUSTIANA;48;1
VALQUIRIA;48;1
ZILMA;48;1
CARMELLA;47;1
CLEA;47;1
CONCEiCAO;47;1
DONATA;47;1
UBALDINA;47;1
ALVARINA;46;1
ANNITA;46;1
DIAMANTINA;46;1
IG;46;1
MARINHA;46;1
MAURINA;46;1
NELY;46;1
PASCHOA;46;1
ROSE;46;1
VICTALINA;46;1
ELOISA;45;1
IVANIR;45;1
MARCELA;45;1
ORLINDA;45;1
PIERINA;45;1
SANTANA;45;1
ANATALIA;44;1
BLANDINA;44;1
JOELMA;44;1
LAVINIA;44;1
LUCINEIA;44;1
ORDALIA;44;1
PETROLINA;44;1
ROSIMEIRE;44;1
TATIANA;44;1
TRINDADE;44;1
VENERANDA;44;1
ALTAIR;43;1
BERNADINA;43;1
CELITA;43;1
DOMINGA;43;1
DORVINA;43;1
ERMINDA;43;1
HERMENEGILDA;43;1
ILIDIA;43;1
SHEILA;43;1
ADAIR;42;1
ARCANJA;42;1
CLAUDEMIRA;42;1
CONSUELO;42;1
EDWIRGES;42;1
ELENITA;42;1
ELITA;42;1
ENY;42;1
FELISBELA;42;1
LENIR;42;1
LEONARDA;42;1
LIBERALINA;42;1
MARIZETE;42;1
MARY;42;1
MIQUELINA;42;1
VENANCIA;42;1
VIOLETA;42;1
ZILA;42;1
ABILIA;41;1
DELPHINA;41;1
ESPEDITA;41;1
EUDOXIA;41;1
EUFRASIA;41;1
GENILDA;41;1
GISELE;41;1
HELIA;41;1
ITELVINA;41;1
KELLY;41;1
PURCINA;41;1
REJANE;41;1
APOLINARIA;40;1
CIRILA;40;1
DINAH;40;1
ERUNDINA;40;1
EUDOCIA;40;1
GERMINA;40;1
JOSIANE;40;1
LIA;40;1
URSULA;40;1
VALDEMIRA;40;1
EUZEBIA;39;1
MARILZA;39;1
MARTINA;39;1
MESSIAS;39;1
NARCIZA;39;1
PRUDENCIA;39;1
SARAH;39;1
SILVANIA;39;1
VALDIVINA;39;1
CLARISSE;38;1
CLEIA;38;1
EDILENE;38;1
FIDELINA;38;1
LEVINA;38;1
LILIAN;38;1
MARISTELA;38;1
NANCI;38;1
PASTORA;38;1
SABRINA;38;1
VALMIRA;38;1
ADA;37;1
ALCINDA;37;1
ASTROGILDA;37;1
BASILIA;37;1
ELI;37;1
LAIDE;37;1
LEANDRA;37;1
MARAI;37;1
MARGARETE;37;1
NELCI;37;1
ROSINEIDE;37;1
SIRLENE;37;1
TEOFILA;37;1
VALDIRENE;37;1
VALERIANA;37;1
ZENI;37;1
ZUMIRA;37;1
DIOMAR;36;1
DORACY;36;1
ELIENE;36;1
ELMA;36;1
ELMIRA;36;1
ESMERINDA;36;1
HERMELINA;36;1
MAGALI;36;1
MAIA;36;1
MAURICIA;36;1
MRIA;36;1
NILVA;36;1
ZITA;36;1
ZULEIKA;36;1
AFRA;35;1
ANAIR;35;1
ANUNCIATA;35;1
CELI;35;1
DEOLINA;35;1
GESSY;35;1
LENITA;35;1
LORENA;35;1
OTAVIANA;35;1
PETRINA;35;1
RAFAELA;35;1
RICARDA;35;1
RISOLETA;35;1
STELA;35;1
VALDENICE;35;1
ALMERITA;34;1
AMANCIA;34;1
BENICIA;34;1
BERTA;34;1
CASSIMIRA;34;1
