nome;frequencia;no_casos
VALERIANA;20;1
VICTOR;20;1
ALMERINDA;19;1
ANISIA;19;1
ANUNCIACÂ¦O;19;1
BARCELLOS;19;1
BERTO;19;1
BERTOLINA;19;1
CACILDA;19;1
CARMELIA;19;1
CASSIMIRO;19;1
CLOTILDES;19;1
CONCEI#CO;19;1
CONRADO;19;1
DAMASIO;19;1
DJANIRA;19;1
ELAINE;19;1
ELIETE;19;1
ELOI;19;1
EVANGELINA;19;1
EXPEDITA;19;1
FABRICIO;19;1
FERMINO;19;1
FLORENCA;19;1
FONTANA;19;1
GONZALES;19;1
GONZALEZ;19;1
IRIS;19;1
KELLY;19;1
LEONIDIA;19;1
LINDALVA;19;1
LORENA;19;1
MAFRA;19;1
MARY;19;1
MOURAO;19;1
NEPOMUCENO;19;1
ONDINA;19;1
PARRA;19;1
PERPETUO;19;1
PETROLINA;19;1
SANCHEZ;19;1
SANDRA;19;1
SARDINHA;19;1
SERRANO;19;1
TAVEIRA;19;1
TEOFILA;19;1
TEXEIRA;19;1
VIRGILIA;19;1
VITARIA;19;1
AMBROZINA;18;1
ANACLETA;18;1
AZEREDO;18;1
BENEVIDES;18;1
BOM;18;1
BRAS;18;1
BRITTO;18;1
CASEMIRO;18;1
CLOTILDE;18;1
ELISABETH;18;1
EVARISTA;18;1
FELIZARDO;18;1
FLAVIA;18;1
FURQUIM;18;1
GARCEZ;18;1
HERMENEGILDA;18;1
ISOLINA;18;1
LEA;18;1
LUSTOSA;18;1
MACARIO;18;1
MARIO;18;1
NOVA;18;1
OLEGARIA;18;1
PACIFICA;18;1
PECANHA;18;1
PEDREIRA;18;1
PONCIANO;18;1
QUERINO;18;1
ROSANGELA;18;1
SATURNINO;18;1
TOMAS;18;1
ALDA;17;1
ALEXANDRINO;17;1
ANASTACIO;17;1
ANGELITA;17;1
BAHIA;17;1
BENIGNA;17;1
BERNARDETE;17;1
CARMINA;17;1
CILENE;17;1
CIPRIANA;17;1
CLEUZA;17;1
CORNELIA;17;1
