nome;frequencia;no_casos
GIL;44;1
LESSA;44;1
MARTINHO;44;1
NONATA;44;1
RIBAS;44;1
ROSALINA;44;1
SALDANHA;44;1
ANDERSON;43;1
ARLINDO;43;1
CARMEN;43;1
CELIO;43;1
FABIO;43;1
HORACIO;43;1
JUSTINA;43;1
PORTELA;43;1
REGIS;43;1
ROMUALDO;43;1
ROSENDO;43;1
ROSSI;43;1
VALDIR;43;1
WALTER;43;1
ANACLETO;42;1
ANGELINA;42;1
CRISPIM;42;1
DONATO;42;1
ELISA;42;1
ELIZA;42;1
EUZEBIO;42;1
IVONE;42;1
MARINS;42;1
NEIDE;42;1
SIMONE;42;1
WILLIAN;42;1
ALVARES;41;1
FEREIRA;41;1
HELIO;41;1
ISIDORO;41;1
PERPETUA;41;1
ROBERTA;41;1
VALTER;41;1
VIEGAS;41;1
VITORIO;41;1
BERNADETE;40;1
CANINDE;40;1
CECILIO;40;1
FILOMENA;40;1
IRINEU;40;1
KELLY;40;1
MARIANA;40;1
MURILO;40;1
OLINDA;40;1
OLIVIA;40;1
VIRGINIO;40;1
ALEXANDRINO;39;1
APOLINARIO;39;1
CELESTINA;39;1
FORTES;39;1
ISAIAS;39;1
LIDIA;39;1
LINHARES;39;1
MATA;39;1
OSORIO;39;1
PRATES;39;1
RIOS;39;1
VERA;39;1
VIRGINIA;39;1
AFFONSO;38;1
ALONSO;38;1
BALBINA;38;1
COIMBRA;38;1
GRACIANO;38;1
LIVRAMENTO;38;1
LUCIANA;38;1
ROBSON;38;1
RODOLFO;38;1
SEIXAS;38;1
SOLANGE;38;1
ADOLFO;37;1
ALCIDES;37;1
AMPARO;37;1
FABRICIO;37;1
GUSMAO;37;1
MARCO;37;1
PASCOAL;37;1
RAMIRO;37;1
ROCIO;37;1
SELMA;37;1
SONIA;37;1
SSP;37;1
UMBELINA;37;1
VERONICA;37;1
ADELAIDE;36;1
CIRINO;36;1
EDVALDO;36;1
EMANUEL;36;1
FAUSTINA;36;1
IDALINA;36;1
INÂ¦CIO;36;1
JULIAO;36;1
MAXIMIANO;36;1
RAQUEL;36;1
SACRAMENTO;36;1
SILVIA;36;1
VALERIANO;36;1
WANDERLEY;36;1
WELLINGTON;36;1
ANTONIETA;35;1
CONRADO;35;1
DELGADO;35;1
ELOI;35;1
FERMINO;35;1
FOGACA;35;1
HORA;35;1
LTCIA;35;1
OSMAR;35;1
PATROCINIO;35;1
ROMERO;35;1
SALUSTIANO;35;1
THEREZINHA;35;1
WILLIAM;35;1
ANUNCIACAO;34;1
BESERRA;34;1
CAMPELO;34;1
DIONIZIO;34;1
EDMILSON;34;1
ELIANE;34;1
ELVIRA;34;1
EMILIANO;34;1
ESTELA;34;1
HELENO;34;1
LA;34;1
LEONCIO;34;1
MATILDE;34;1
MENESES;34;1
SALGADO;34;1
SODRE;34;1
VALLE;34;1
ALESSANDRO;33;1
BENTA;33;1
CARMELITA;33;1
CEZARIO;33;1
ESTER;33;1
EURIPEDES;33;1
NERIS;33;1
ROMANA;33;1
SUELY;33;1
TORQUATO;33;1
ADALBERTO;32;1
AMARA;32;1
ARIMATEIA;32;1
BELMIRO;32;1
EGIDIO;32;1
EVANDRO;32;1
FALCAO;32;1
GODOI;32;1
LEONOR;32;1
MASCARENHAS;32;1
MINERVINA;32;1
ORTIZ;32;1
QUADROS;32;1
