nome;frequencia;no_casos
PEQUENO;14;1
REBELLO;14;1
SEVERIANO;14;1
SIMSES;14;1
TANAKA;14;1
VALENTIN;14;1
VALVERDE;14;1
VILAR;14;1
ARUJO;13;1
AZARIAS;13;1
BASTO;13;1
BERGER;13;1
BIANCHINI;13;1
BICALHO;13;1
BICUDO;13;1
BOEIRA;13;1
BREDA;13;1
BRESSAN;13;1
CABREIRA;13;1
CACERES;13;1
CANO;13;1
CARREIRO;13;1
CASSEMIRO;13;1
CATARINO;13;1
DAMACENA;13;1
EMIDIO;13;1
FERRI;13;1
FILGUEIRAS;13;1
FIORI;13;1
FRIAS;13;1
FURQUIM;13;1
GUAJAJARA;13;1
HIGINO;13;1
JACQUES;13;1
KRAUSE;13;1
KUSTER;13;1
LARANJEIRA;13;1
LUCCA;13;1
LUNARDI;13;1
MARIZ;13;1
NATAL;13;1
NAVES;13;1
NEIVA;13;1
PALHANO;13;1
PITA;13;1
PRAXEDES;13;1
RINALDI;13;1
ROMA;13;1
ROMANI;13;1
RUBIO;13;1
SALUSTIANO;13;1
SCHULTZ;13;1
SOCORRO;13;1
SOLEDADE;13;1
STEIN;13;1
VOGEL;13;1
ZANIN;13;1
ZANON;13;1
ABRAO;12;1
ASSUNCÂ¦O;12;1
BALDO;12;1
BARNABE;12;1
BELCHIOR;12;1
BELLINI;12;1
BENEDETTI;12;1
BERTO;12;1
BORDIN;12;1
BOSCO;12;1
BRITES;12;1
CADETE;12;1
CALAZANS;12;1
CAROLINO;12;1
CARRILHO;12;1
CARVALHAES;12;1
CIRIACO;12;1
CORDOVA;12;1
COTRIM;12;1
DAVI;12;1
DAVILA;12;1
DURAES;12;1
FABRI;12;1
FARINA;12;1
FAVERO;12;1
FRANCOSO;12;1
GASPARINI;12;1
GOMIDE;12;1
GONSALVES;12;1
GRECCO;12;1
HERNANDEZ;12;1
INOCENCIO;12;1
IZAIAS;12;1
JATOBA;12;1
LEÂ¦O;12;1
LEONE;12;1
LIZ;12;1
LUIZA;12;1
MANSUR;12;1
MARINI;12;1
MARTIM;12;1
MARTINES;12;1
MARTINHO;12;1
MORATO;12;1
MORELLI;12;1
NORBERTO;12;1
OLEGARIO;12;1
ORNELAS;12;1
OZORIO;12;1
PALMIERI;12;1
PARANHOS;12;1
PELEGRINI;12;1
PERDIGAO;12;1
PERIN;12;1
PETRY;12;1
PONCE;12;1
PRETO;12;1
PRIETO;12;1
PURIFICACAO;12;1
RAMIRES;12;1
ROSSETTO;12;1
ROSSO;12;1
SALVIANO;12;1
SANTI;12;1
SANTIS;12;1
SERGIO;12;1
SORIANO;12;1
SUZUKI;12;1
TAKAHASHI;12;1
TEDESCO;12;1
VASCO;12;1
VELHO;12;1
VENTURINI;12;1
VILLA;12;1
VIRGINIO;12;1
WALTER;12;1
WERNECK;12;1
AMADO;11;1
ANCHIETA;11;1
BAZILIO;11;1
BENTES;11;1
BERTOLINI;11;1
BONA;11;1
BRAZAO;11;1
BULHOES;11;1
CABRERA;11;1
CORTE;11;1
CRAVEIRO;11;1
ENCARNACAO;11;1
ERNESTO;11;1
FERNANDO;11;1
FIDELES;11;1
FRANCELINO;11;1
FUENTES;11;1
GADELHA;11;1
GENARO;11;1
