nome;frequencia;no_casos
AUREO;30;1
BELMIRA;30;1
CECILIO;30;1
CLAYTON;30;1
CLEIA;30;1
COSMA;30;1
EDI;30;1
ESMERALDINA;30;1
EUDES;30;1
FELICIA;30;1
IRIA;30;1
JACOB;30;1
JANICE;30;1
LILIANE;30;1
LORENA;30;1
NATHALIA;30;1
NICANOR;30;1
NILDO;30;1
PATRICK;30;1
REBECA;30;1
TEODORO;30;1
URBANO;30;1
VERGINIA;30;1
ADALTO;29;1
ADHEMAR;29;1
ADONIAS;29;1
ALTAMIR;29;1
APPARECIDO;29;1
AURINO;29;1
BELARMINA;29;1
CORNELIO;29;1
DANIELLE;29;1
DEJAIR;29;1
DEMERVAL;29;1
EDESIO;29;1
EMILIANO;29;1
ESTEVAM;29;1
FIRMINA;29;1
FLORINDO;29;1
GENILDO;29;1
GIOVANNA;29;1
GISLENE;29;1
HELCIO;29;1
IVANILDE;29;1
LADISLAU;29;1
LEONCIO;29;1
ORLANDA;29;1
ROGER;29;1
RONILDO;29;1
VALDECY;29;1
AFFONSO;28;1
ANTGNIA;28;1
BASILIO;28;1
CLARINDO;28;1
ELIDIA;28;1
FELICIANO;28;1
FELICIO;28;1
FLORENTINA;28;1
GUIDO;28;1
HERCULANO;28;1
JANIO;28;1
JUVENIL;28;1
LAURITA;28;1
LENIR;28;1
LIVIA;28;1
LUCILA;28;1
MARINALDO;28;1
MARINEIDE;28;1
NELCI;28;1
NOEMI;28;1
ROBERT;28;1
SANTINO;28;1
SANTOS;28;1
SIRLENE;28;1
SOPHIA;28;1
ADIR;27;1
ALLAN;27;1
ANEZIO;27;1
APARICIO;27;1
CLEA;27;1
DIANA;27;1
EDERSON;27;1
EGIDIO;27;1
ELISIO;27;1
EMANOEL;27;1
ENOQUE;27;1
ERINALDO;27;1
GENEZIO;27;1
HONORINA;27;1
HORTENCIA;27;1
JONATAS;27;1
JONES;27;1
JOSILENE;27;1
MARCONDES;27;1
MATIAS;27;1
MAURINA;27;1
NAPOLEAO;27;1
OTACILIA;27;1
PASCOAL;27;1
RACHEL;27;1
TAMIRES;27;1
THEODORO;27;1
VANDERSON;27;1
ZAIRA;27;1
ABDIAS;26;1
ABELARDO;26;1
ADELMO;26;1
ATILIO;26;1
CELI;26;1
CLAUDINEIA;26;1
CLEVERSON;26;1
DAGOBERTO;26;1
DAMIÂ¦O;26;1
DAYANE;26;1
DEOCLECIO;26;1
DIONIZIA;26;1
EDIMAR;26;1
EDNALVA;26;1
ERICO;26;1
ERNA;26;1
EROTILDES;26;1
EVERSON;26;1
FERNANDES;26;1
FLORENCIO;26;1
HUDSON;26;1
JUVENCIO;26;1
KAUAN;26;1
KEILA;26;1
LAIR;26;1
LAURENTINO;26;1
LENIRA;26;1
LYGIA;26;1
MODESTO;26;1
MOZART;26;1
RAISSA;26;1
RYAN;26;1
TERTULIANO;26;1
VANILDA;26;1
